threshold,tp_threshold,sl_threshold,tp_sell,sl_sell,CAGR,MDD,Sharpe,Sortino,CumulativeReturn,Trades,HitDays,NumTP,NumSL
-4.1,15.0,-40.0,50.0,25.0,0.0694633311824584,-0.7656169338317709,0.0,0.0,0.8253880238092248,252.0,252.0,44.0,3.0
-4.1,15.0,-40.0,50.0,50.0,0.07019877976476052,-0.754266121864903,0.0,0.0,0.8366674358125465,252.0,252.0,45.0,3.0
-4.1,15.0,-40.0,50.0,75.0,0.07277836288711548,-0.7294383391973057,0.0,0.0,0.8767210324146271,252.0,252.0,46.0,3.0
-4.1,15.0,-40.0,50.0,100.0,0.07181801950798605,-0.7294383391973057,0.0,0.0,0.8617198678376201,252.0,252.0,46.0,2.0
-4.1,15.0,-40.0,75.0,25.0,0.07053804423001342,-0.6901861525345538,0.0,0.0,0.8418914975971612,252.0,252.0,47.0,3.0
-4.1,15.0,-40.0,75.0,50.0,0.0642787060107981,-0.6738789976746056,0.0,0.0,0.7476031055731827,252.0,252.0,45.0,2.0
-4.1,15.0,-40.0,75.0,75.0,0.06457947614266213,-0.6404711004078071,0.0,0.0,0.7520337460195761,252.0,252.0,45.0,2.0
-4.1,15.0,-40.0,75.0,100.0,0.0661712935075871,-0.6404711004078071,0.0,0.0,0.775649375430747,252.0,252.0,46.0,2.0
-4.1,15.0,-40.0,100.0,25.0,0.06645831690388859,-0.6195293330537144,0.0,0.0,0.7799375132307402,252.0,252.0,42.0,2.0
-4.1,15.0,-40.0,100.0,50.0,0.06541473813132703,-0.5995031330103064,0.0,0.0,0.764390362242183,252.0,252.0,42.0,2.0
-4.1,15.0,-40.0,100.0,75.0,0.06449360329542864,-0.5597863994933625,0.0,0.0,0.7507677376373814,252.0,252.0,42.0,2.0
-4.1,15.0,-40.0,100.0,100.0,0.06244878382569108,-0.5597863994933625,0.0,0.0,0.7208604094305195,252.0,252.0,44.0,2.0
-4.1,15.0,-35.0,25.0,25.0,0.07792087571249295,-0.8056113513659685,0.0,0.0,0.9588924333210314,252.0,252.0,0.0,0.0
-4.1,15.0,-35.0,25.0,50.0,0.0794928218860036,-0.7847961059420282,0.0,0.0,0.9846401880266584,252.0,252.0,42.0,5.0
-4.1,15.0,-35.0,25.0,75.0,0.07917843101301525,-0.7741308991551697,0.0,0.0,0.9794666896882629,252.0,252.0,46.0,5.0
-4.1,15.0,-35.0,25.0,100.0,0.07873210298497524,-0.7601562502584512,0.0,0.0,0.9721426612985637,252.0,252.0,51.0,5.0
-4.1,15.0,-35.0,50.0,25.0,0.07784353949161371,-0.7294383391973057,0.0,0.0,0.9576333965673582,252.0,252.0,47.0,4.0
-4.1,15.0,-35.0,50.0,50.0,0.080350517781971,-0.7294383391973057,0.0,0.0,0.9988152515638682,252.0,252.0,50.0,4.0
-4.1,15.0,-35.0,50.0,75.0,0.07558556048012499,-0.7294383391973057,0.0,0.0,0.9211888658595049,252.0,252.0,49.0,3.0
-4.1,15.0,-35.0,50.0,100.0,0.07466224415111244,-0.7294383391973057,0.0,0.0,0.9064607280118147,252.0,252.0,49.0,3.0
-4.1,15.0,-35.0,75.0,25.0,0.07277470435717737,-0.6890661039136912,0.0,0.0,0.8766636807253914,252.0,252.0,46.0,3.0
-4.1,15.0,-35.0,75.0,50.0,0.0718819306881271,-0.6728670271135209,0.0,0.0,0.8627148813525007,252.0,252.0,47.0,3.0
-4.1,15.0,-35.0,75.0,75.0,0.07181249676770429,-0.6404711004078071,0.0,0.0,0.861633908161074,252.0,252.0,47.0,3.0
-4.1,15.0,-35.0,75.0,100.0,0.06870244157103578,-0.6404711004078071,0.0,0.0,0.8137832387031942,252.0,252.0,46.0,2.0
-4.1,15.0,-35.0,100.0,25.0,0.06920451487822632,-0.6181538437097803,0.0,0.0,0.8214332797068569,252.0,252.0,42.0,2.0
-4.1,15.0,-35.0,100.0,50.0,0.06737565289770386,-0.5982603702433877,0.0,0.0,0.793704296945148,252.0,252.0,42.0,2.0
-4.1,15.0,-35.0,100.0,75.0,0.06648401020715622,-0.5597863994933625,0.0,0.0,0.7803218201847555,252.0,252.0,42.0,2.0
-4.1,15.0,-35.0,100.0,100.0,0.0650506235059638,-0.5597863994933625,0.0,0.0,0.7589942727029673,252.0,252.0,44.0,2.0
-4.1,15.0,-30.0,25.0,25.0,0.07235105571709655,-0.772351816098067,0.0,0.0,0.8700330181315701,252.0,252.0,49.0,9.0
-4.1,15.0,-30.0,25.0,50.0,0.07308166058919974,-0.7405104451235329,0.0,0.0,0.8814809935253365,252.0,252.0,47.0,8.0
-4.1,15.0,-30.0,25.0,75.0,0.08485419279313433,-0.7424370099613036,0.0,0.0,1.074733666884486,252.0,252.0,47.0,6.0
-4.1,15.0,-30.0,25.0,100.0,0.08474189790865427,-0.7140393907103708,0.0,0.0,1.0728100091585002,252.0,252.0,50.0,6.0
-4.1,15.0,-30.0,50.0,25.0,0.07939061674394998,-0.7178816824034049,0.0,0.0,0.9829570222869797,252.0,252.0,55.0,7.0
-4.1,15.0,-30.0,50.0,50.0,0.07983923278928584,-0.7180691877777947,0.0,0.0,0.9903545027939307,252.0,252.0,56.0,7.0
-4.1,15.0,-30.0,50.0,75.0,0.07857743927674665,-0.7179765659233952,0.0,0.0,0.9696103267424385,252.0,252.0,53.0,6.0
-4.1,15.0,-30.0,50.0,100.0,0.07859151351218685,-0.7157861413983483,0.0,0.0,0.9698406469965728,252.0,252.0,55.0,6.0
-4.1,15.0,-30.0,75.0,25.0,0.07615902013985942,-0.6402647851497105,0.0,0.0,0.9303871239452985,252.0,252.0,51.0,5.0
