threshold,tp_threshold,sl_threshold,tp_sell,sl_sell,CAGR,MDD,Sharpe,Sortino,CumulativeReturn,Trades,HitDays,NumTP,NumSL
-4.1,15.0,-40.0,50.0,50.0,0.3102848484948628,-0.6183768977878462,0.0,0.0,1.152274697641781,71.0,71.0,20.0,1.0
-4.1,15.0,-40.0,50.0,75.0,0.297037737012779,-0.6134973302006159,0.0,0.0,1.0911264913039131,71.0,71.0,20.0,1.0
-4.1,15.0,-40.0,50.0,100.0,0.28296517049541126,-0.6134973302006159,0.0,0.0,1.0274124027123346,71.0,71.0,19.0,1.0
-4.1,15.0,-40.0,75.0,25.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-40.0,75.0,50.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-40.0,75.0,75.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-40.0,75.0,100.0,0.3509232023168991,-0.5715536898919826,0.0,0.0,1.3470511738547577,71.0,71.0,17.0,0.0
-4.1,15.0,-40.0,100.0,25.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-40.0,100.0,50.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-40.0,100.0,75.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-40.0,100.0,100.0,0.33060613729067256,-0.47740868323312247,0.0,0.0,1.248307602962257,71.0,71.0,16.0,0.0
-4.1,15.0,-35.0,25.0,25.0,0.33023413340845753,-0.6512730309306377,0.0,0.0,1.2465251761041873,71.0,71.0,18.0,1.0
-4.1,15.0,-35.0,25.0,50.0,0.30895633836214853,-0.648495832531186,0.0,0.0,1.1460908043010236,71.0,71.0,18.0,1.0
-4.1,15.0,-35.0,25.0,75.0,0.2853235592939811,-0.6418404239284029,0.0,0.0,1.0380011591761482,71.0,71.0,18.0,1.0
-4.1,15.0,-35.0,25.0,100.0,0.27025294637132147,-0.6373705315148581,0.0,0.0,0.9709499137996136,71.0,71.0,19.0,1.0
-4.1,15.0,-35.0,50.0,25.0,0.31931963790143914,-0.6237648979911432,0.0,0.0,1.1946356560255973,71.0,71.0,20.0,1.0
-4.1,15.0,-35.0,50.0,50.0,0.3102848484948628,-0.6183768977878462,0.0,0.0,1.152274697641781,71.0,71.0,20.0,1.0
-4.1,15.0,-35.0,50.0,75.0,0.297037737012779,-0.6134973302006159,0.0,0.0,1.0911264913039131,71.0,71.0,20.0,1.0
-4.1,15.0,-35.0,50.0,100.0,0.28296517049541126,-0.6134973302006159,0.0,0.0,1.0274124027123346,71.0,71.0,19.0,1.0
-4.1,15.0,-35.0,75.0,25.0,0.2962391032730616,-0.5682206598129014,0.0,0.0,1.0874764371269525,71.0,71.0,19.0,1.0
-4.1,15.0,-35.0,75.0,50.0,0.29047658785294117,-0.5617813383539516,0.0,0.0,1.0612617966459803,71.0,71.0,19.0,1.0
-4.1,15.0,-35.0,75.0,75.0,0.2836387840417913,-0.5585089322244758,0.0,0.0,1.0304331676292615,71.0,71.0,19.0,1.0
-4.1,15.0,-35.0,75.0,100.0,0.2777083232218567,-0.5585089322244758,0.0,0.0,1.0039384092811132,71.0,71.0,19.0,1.0
-4.1,15.0,-35.0,100.0,25.0,0.28451280559359704,-0.4727303329170721,0.0,0.0,1.0343569872023513,71.0,71.0,17.0,1.0
-4.1,15.0,-35.0,100.0,50.0,0.2791460774418826,-0.4631177614493933,0.0,0.0,1.010340995841518,71.0,71.0,17.0,1.0
-4.1,15.0,-35.0,100.0,75.0,0.2750937297445528,-0.462300417943708,0.0,0.0,0.9923290023208935,71.0,71.0,17.0,1.0
-4.1,15.0,-35.0,100.0,100.0,0.2696535316414084,-0.462300417943708,0.0,0.0,0.9683130109600606,71.0,71.0,17.0,1.0
-4.1,15.0,-30.0,25.0,25.0,0.33023413340845753,-0.6512730309306377,0.0,0.0,1.2465251761041873,71.0,71.0,18.0,1.0
-4.1,15.0,-30.0,25.0,50.0,0.30895633836214853,-0.648495832531186,0.0,0.0,1.1460908043010236,71.0,71.0,18.0,1.0
-4.1,15.0,-30.0,25.0,75.0,0.2853235592939811,-0.6418404239284029,0.0,0.0,1.0380011591761482,71.0,71.0,18.0,1.0
-4.1,15.0,-30.0,25.0,100.0,0.27025294637132147,-0.6373705315148581,0.0,0.0,0.9709499137996136,71.0,71.0,19.0,1.0
-4.1,15.0,-30.0,50.0,25.0,0.31931963790143914,-0.6237648979911432,0.0,0.0,1.1946356560255973,71.0,71.0,20.0,1.0
-4.1,15.0,-30.0,50.0,50.0,0.3102848484948628,-0.6183768977878462,0.0,0.0,1.152274697641781,71.0,71.0,20.0,1.0
-4.1,15.0,-30.0,50.0,75.0,0.297037737012779,-0.6134973302006159,0.0,0.0,1.0911264913039131,71.0,71.0,20.0,1.0
-4.1,15.0,-30.0,50.0,100.0,0.28296517049541126,-0.6134973302006159,0.0,0.0,1.0274124027123346,71.0,71.0,19.0,1.0
-4.1,15.0,-30.0,75.0,25.0,0.2962391032730616,-0.5682206598129014,0.0,0.0,1.0874764371269525,71.0,71.0,19.0,1.0
-4.1,15.0,-30.0,75.0,50.0,0.29047658785294117,-0.5617813383539516,0.0,0.0,1.0612617966459803,71.0,71.0,19.0,1.0
-4.1,15.0,-30.0,75.0,75.0,0.2836387840417913,-0.5585089322244758,0.0,0.0,1.0304331676292615,71.0,71.0,19.0,1.0
-4.1,15.0,-30.0,75.0,100.0,0.2777083232218567,-0.5585089322244758,0.0,0.0,1.0039384092811132,71.0,71.0,19.0,1.0
-4.1,15.0,-30.0,100.0,25.0,0.28451280559359704,-0.4727303329170721,0.0,0.0,1.0343569872023513,71.0,71.0,17.0,1.0
-4.1,15.0,-30.0,100.0,50.0,0.2791460774418826,-0.4631177614493933,0.0,0.0,1.010340995841518,71.0,71.0,17.0,1.0
-4.1,15.0,-30.0,100.0,75.0,0.2750937297445528,-0.462300417943708,0.0,0.0,0.9923290023208935,71.0,71.0,17.0,1.0
-4.1,15.0,-30.0,100.0,100.0,0.2696535316414084,-0.462300417943708,0.0,0.0,0.9683130109600606,71.0,71.0,17.0,1.0
-4.1,15.0,-25.0,25.0,25.0,0.32015959399769534,-0.6558075435822599,0.0,0.0,1.1986011050713175,71.0,71.0,20.0,3.0
-4.1,15.0,-25.0,25.0,50.0,0.3086528291448225,-0.6446521652168,0.0,0.0,1.1446796585215235,71.0,71.0,20.0,3.0
-4.1,15.0,-25.0,25.0,75.0,0.2855084026489092,-0.6588852610239136,0.0,0.0,1.0388325834085226,71.0,71.0,21.0,2.0
-4.1,15.0,-25.0,25.0,100.0,0.3154631893485358,-0.5950347198081047,0.0,0.0,1.1764887233461931,71.0,71.0,19.0,2.0
-4.1,15.0,-25.0,50.0,25.0,0.320864735614131,-0.6167521564352074,0.0,0.0,1.2019336718484368,71.0,71.0,20.0,2.0
-4.1,15.0,-25.0,50.0,50.0,0.3124896395365482,-0.5949719184962887,0.0,0.0,1.1625629059762845,71.0,71.0,20.0,2.0
-4.1,15.0,-25.0,50.0,75.0,0.3106936101408564,-0.5766112278565524,0.0,0.0,1.1541797023205205,71.0,71.0,20.0,2.0
-4.1,15.0,-25.0,50.0,100.0,0.3347285252490122,-0.5400550412353562,0.0,0.0,1.2681210188493783,71.0,71.0,19.0,1.0
-4.1,15.0,-25.0,75.0,25.0,0.2962391032730616,-0.5682206598129014,0.0,0.0,1.0874764371269525,71.0,71.0,19.0,1.0
-4.1,15.0,-25.0,75.0,50.0,0.29047658785294117,-0.5617813383539516,0.0,0.0,1.0612617966459803,71.0,71.0,19.0,1.0
-4.1,15.0,-25.0,75.0,75.0,0.2836387840417913,-0.5585089322244758,0.0,0.0,1.0304331676292615,71.0,71.0,19.0,1.0
-4.1,15.0,-25.0,75.0,100.0,0.2777083232218567,-0.5585089322244758,0.0,0.0,1.0039384092811132,71.0,71.0,19.0,1.0
-4.1,15.0,-25.0,100.0,25.0,0.28451280559359704,-0.4727303329170721,0.0,0.0,1.0343569872023513,71.0,71.0,17.0,1.0
-4.1,15.0,-25.0,100.0,50.0,0.2791460774418826,-0.4631177614493933,0.0,0.0,1.010340995841518,71.0,71.0,17.0,1.0
-4.1,15.0,-25.0,100.0,75.0,0.2750937297445528,-0.462300417943708,0.0,0.0,0.9923290023208935,71.0,71.0,17.0,1.0
-4.1,15.0,-25.0,100.0,100.0,0.2696535316414084,-0.462300417943708,0.0,0.0,0.9683130109600606,71.0,71.0,17.0,1.0
-4.1,15.0,-20.0,25.0,25.0,0.3289479436686249,-0.6541327487094772,0.0,0.0,1.2403695513395285,71.0,71.0,19.0,3.0
